date t365 i365 t730 i730 t1095 i1095 t1460 i1460 t1825 i1825 t2555 i2555 t3650 i3650 t4380 i4380 t5475 i5475 t7300 i7300 t10950 i10950
20050209 399 0.04915642939 770 0.04891758531 1134 0.04866258259 1461 0.04842312213 1826 0.04821148814 2556 0.04788794369 3652 0.04746583968 4383 0.04726459165 5479 0.0467597363 7306 0.04599182494 10957 0.04411502841 
20050210 398 0.04895639492 769 0.04862313263 1133 0.04833552191 1461 0.04841988544 1826 0.04828515789 2556 0.0480667523 3652 0.04775468066 4383 0.04754543851 5478 0.04706627058 7305 0.04632274372 10959 0.0445065754 
20050211 397 0.04906887832 768 0.04878887185 1132 0.04849537411 1461 0.04859447811 1826 0.04845937911 2558 0.04829644357 3652 0.04795098179 4385 0.0477420357 5478 0.04729574434 7305 0.04654816247 10958 0.04472558531 
20050214 394 0.04941868796 765 0.04917217688 1129 0.04885785395 1463 0.04899206734 1827 0.04888372389 2556 0.04871965723 3654 0.04840076211 4383 0.04819045722 5478 0.04770818659 7305 0.04688703762 10957 0.04494519 
20050215 393 0.04939458845 764 0.04915945748 1128 0.04886490272 1462 0.04891276023 1826 0.04883303084 2556 0.04872546406 3653 0.04840477647 4383 0.04819377567 5480 0.04771058899 7307 0.04685218999 10957 0.04487478706 
20050216 392 0.04909906334 763 0.04892383073 1127 0.04868349734 1461 0.04885078183 1826 0.04879565736 2556 0.048740946 3652 0.04850467412 4383 0.04828884096 5479 0.04780109803 7306 0.04693765325 10957 0.04495398583 
20050217 391 0.04916688868 762 0.04908996931 1126 0.04887556449 1461 0.04913205578 1826 0.04910220222 2556 0.04907205992 3652 0.04889063121 4383 0.04867173339 5478 0.04817998118 7305 0.04727468703 10959 0.04524491691 
20050218 390 0.04932932819 761 0.04934117766 1125 0.04917316513 1461 0.04951266573 1826 0.04953536184 2558 0.04955751398 3652 0.04946048461 4385 0.04923602479 5478 0.04877192111 7305 0.04785472262 10958 0.0458467144 
20050221 387 0.04968308903 758 0.04978810569 1122 0.04961886583 1463 0.04987841748 1827 0.04990236866 2556 0.04992585348 3654 0.04982891935 4383 0.04957232247 5478 0.04907545498 7305 0.04812304214 10957 0.04590860978 
20050222 386 0.05003511462 757 0.05007729653 1121 0.04986211405 1462 0.05004317686 1826 0.05001405305 2556 0.05001323394 3653 0.0498613627 4383 0.04960752812 5480 0.0491133709 7307 0.04816407057 10957 0.04607726025 
